net,length_um
_298_,4.48
_231_,4.43
done,4.39
product[13],4.39
product[5],4.39
_237_,4.34
_160_,4.21
_252_,4.2
_150_,4.15
net42,4.14
_075_,4.12
_063_,4.02
_056_,4
_058_,4
_082_,4
_271_,4
_125_,3.9
_065_,3.76
_010_,3.66
_057_,3.66
_000_,3.56
_173_,3.56
_291_,3.56
_067_,3.54
_262_,3.54
_329_,3.44
_188_,3.42
_228_,3.42
_254_,3.42
_328_,3.42
_018_,3.3
_089_,3.3
_030_,3.23
_054_,3.23
_007_,3.2
_064_,3.2
_070_,3.2
net51,3.2
_068_,3.1
_069_,3.1
_088_,3.1
_277_,3.1
_061_,3.08
_062_,3.08
_084_,3.08
_294_,3.08
_029_,3.03
_234_,2.98
_334_,2.98
_290_,2.96
net47,2.96
_027_,2.89
_046_,2.89
_005_,2.84
_006_,2.84
_016_,2.84
_028_,2.84
_031_,2.84
_038_,2.84
_039_,2.84
_044_,2.84
_085_,2.74
_100_,2.74
_130_,2.65
_337_,2.64
_073_,2.62
_080_,2.62
_245_,2.62
_276_,2.62
_305_,2.62
net17,2.62
_325_,2.52
_326_,2.52
_008_,2.5
_097_,2.5
_233_,2.5
_302_,2.5
_052_,2.43
_297_,2.41
_013_,2.38
_019_,2.38
_020_,2.38
_022_,2.38
_025_,2.38
_032_,2.38
_034_,2.38
_037_,2.38
_049_,2.38
_003_,2.28
_309_,2.28
net50,2.28
_012_,2.23
_017_,2.23
_023_,2.23
_026_,2.23
_021_,2.21
_099_,2.18
net46,2.18
net52,2.18
_081_,2.16
_036_,2.04
_090_,2.04
net61,1.94
_138_,1.84
_011_,1.82
_035_,1.82
_059_,1.82
_083_,1.82
_323_,1.72
_024_,1.7
_136_,1.7
_331_,1.6
_066_,1.545
_014_,1.36
_040_,1.36
_043_,1.36
_048_,1.36
_050_,1.36
_149_,1.36
_293_,1.15
_255_,1.14
_272_,1.14
_301_,1.14
_304_,1.14
_308_,1.14
_332_,1.14
_151_,0.46
_223_,0.46
